symbol,source,interval,period_start,period_end,exit_mode,keep_fixed_tp,confidence,cost_profile,trades,win_rate_net,profit_factor_net,total_net_pnl,final_balance,max_drawdown_pct,avg_trade_net,fees_paid,spread_slippage_cost_estimate,funding_paid,long_trades,short_trades,long_net_pnl,short_net_pnl,tp_count,sl_count,trailing_count,timeout_count,trailing_activated_count,verdict,report_json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2024-12-31T23:55:00+00:00,fixed,False,0.6,stress,831,34.416365824308066,0.5634902309996106,-116.14430260404117,883.8556973959588,12.37808645538457,-0.13976450373530827,60.09049848247216,81.94160340161883,0.0,557,274,-80.88700154005059,-35.25730106399058,212,480,0,139,0,FAIL,reports_json/btcusdt_slice_2024_fixed_conf060_stress.json
BTCUSDT,bybit,5m,2025-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,fixed,False,0.6,stress,563,27.708703374777976,0.40515067473714433,-157.43977285818147,842.5602271418186,15.74397728581812,-0.2796443567640879,59.29886114380902,80.86207365857219,0.0,383,180,-103.71339267237332,-53.72638018580816,101,335,0,127,0,FAIL,reports_json/btcusdt_slice_2025_fixed_conf060_stress.json
BTCUSDT,bybit,5m,2026-01-01T00:00:00+00:00,2026-04-25T23:55:00+00:00,fixed,False,0.6,stress,264,32.57575757575758,0.561518017170127,-40.65571832640002,959.3442816736,4.120319038383059,-0.15399893305454554,21.112429723975087,28.78968209742489,0.0,197,67,-33.05547449206443,-7.6002438343356005,65,155,0,44,0,FAIL,reports_json/btcusdt_slice_2026_ytd_fixed_conf060_stress.json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2026-04-25T23:55:00+00:00,atr_trailing,True,0.3,zero_cost,12790,58.81157154026583,0.9291908550657151,-163.28428339999965,836.7157166000004,20.37632437002387,-0.012766558514464399,0.0,0.0,0.0,8846,3944,-131.91197884999988,-31.37230454999977,402,4631,6740,1017,7070,FAIL,reports_json/btcusdt_full_atr_trailing_keep_tp_conf030_zero_cost.json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2024-12-31T23:55:00+00:00,atr_trailing,True,0.3,zero_cost,6277,59.12059901226701,0.9588831804067667,-39.732498100000186,960.2675018999998,7.286325685671227,-0.006329854723594103,0.0,0.0,0.0,4424,1853,-33.42751715000026,-6.304980949999918,221,2319,3338,399,3522,FAIL,reports_json/btcusdt_slice_2024_atr_trailing_keep_tp_conf030_zero_cost.json
BTCUSDT,bybit,5m,2025-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,atr_trailing,True,0.3,zero_cost,4562,57.9351161771153,0.883252823336488,-119.53435644999959,880.4656435500004,12.50358680050895,-0.02620218247479167,0.0,0.0,0.0,3077,1485,-93.50839859999952,-26.02595785000005,118,1623,2346,475,2448,FAIL,reports_json/btcusdt_slice_2025_atr_trailing_keep_tp_conf030_zero_cost.json
BTCUSDT,bybit,5m,2026-01-01T00:00:00+00:00,2026-04-25T23:55:00+00:00,atr_trailing,True,0.3,zero_cost,1938,60.010319917440654,0.9969013943733832,-0.9653362999998905,999.0346637000001,2.7392644659694145,-0.000498109545923576,0.0,0.0,0.0,1342,596,-3.4293305500000866,2.4639942500001997,63,682,1053,140,1097,FAIL,reports_json/btcusdt_slice_2026_ytd_atr_trailing_keep_tp_conf030_zero_cost.json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2026-04-25T23:55:00+00:00,atr_trailing,True,0.3,realistic_taker,12698,54.32351551425422,0.40815738855133155,-1834.8108600154487,-834.8108600154487,183.42412366369615,-0.1444960513478854,1097.648786326741,598.7175073545089,0.0,8792,3906,-1273.7353409199338,-561.0755190955149,383,4966,6324,1025,6641,FAIL,reports_json/btcusdt_full_atr_trailing_keep_tp_conf030_realistic_taker.json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2024-12-31T23:55:00+00:00,atr_trailing,True,0.3,realistic_taker,6264,54.91698595146871,0.4284637203455621,-742.4395930161434,257.56040698385664,74.26153363326465,-0.11852483924267934,456.1014294526642,248.7825945032425,0.0,4417,1847,-523.4993356124188,-218.9402574037245,204,2494,3162,404,3325,FAIL,reports_json/btcusdt_slice_2024_atr_trailing_keep_tp_conf030_realistic_taker.json
BTCUSDT,bybit,5m,2025-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,atr_trailing,True,0.3,realistic_taker,4517,53.08833296435688,0.3822131761228275,-851.8270020790858,148.1729979209142,85.20190357934024,-0.1885824666989342,486.80107482038113,265.52785003807895,0.0,3069,1448,-582.4330821107379,-269.393919968348,122,1737,2181,477,2296,FAIL,reports_json/btcusdt_slice_2025_atr_trailing_keep_tp_conf030_realistic_taker.json
